date,cases_diff,daily_cases,total_cases,daily_doses,total_doses,lockdown_level,hospitalised,icu,vent,daily_deaths,deaths,pcr_tests,temp_celc,schools_closed,restaurants_closed,home_gatherings,outdoor_gatherings,masks_mandate,international_travel,,,,,
01/25/2020,0,3,3,0,0,0,0,0,0,0,0,0,29,0,0,500,1000,0,0,,,,,
01/27/2020,-2,1,4,0,0,0,0,0,0,0,0,0,27,0,0,500,1000,0,0,,,,,
3/1/2020,1,2,6,0,0,1,0,0,0,0,0,1000,24,0,0,500,1000,0,0,,,,,
3/2/2020,1,3,9,0,0,1,0,0,0,0,0,2000,26,0,0,500,1000,0,0,,,,,
3/3/2020,3,6,15,0,0,1,0,0,0,1,1,3000,21,0,0,500,1000,0,0,,,,,
3/4/2020,0,6,21,0,0,1,0,0,0,0,1,4000,22,0,0,500,1000,0,0,,,,,
3/5/2020,-2,4,25,0,0,1,0,0,0,0,1,5000,22,0,0,500,1000,0,0,,,,,
3/6/2020,3,7,32,0,0,1,0,0,0,0,1,6000,23,0,0,500,1000,0,0,,,,,
3/7/2020,-6,1,33,0,0,1,0,0,0,0,1,6796,21,0,0,500,1000,0,0,,,,,
3/8/2020,6,7,40,0,0,1,0,0,0,1,2,7216,19,0,0,500,1000,0,0,,,,,
3/9/2020,6,13,53,0,0,1,0,0,0,0,2,8371,19,0,0,500,1000,0,0,,,,,
3/10/2020,-7,6,59,0,0,1,0,0,0,0,2,10165,20,0,0,500,1000,0,0,,,,,
3/11/2020,10,16,75,0,0,1,0,0,0,0,2,10221,20,0,0,500,1000,0,0,,,,,
3/12/2020,-2,14,89,0,0,1,0,0,0,0,2,14856,21,0,0,500,1000,0,0,,,,,
03/13/2020,5,19,108,0,0,1,0,0,0,0,2,16685,21,0,0,500,1000,0,0,,,,,
03/14/2020,1,20,128,0,0,1,0,0,0,1,3,20496,17,0,0,500,1000,0,0,,,,,
03/15/2020,16,36,164,0,0,1,0,0,0,0,3,22567,18,0,0,500,1000,0,0,,,,,
03/16/2020,-7,29,193,0,0,1,0,0,0,0,3,26964,18,0,0,500,500,0,0,,,,,
03/17/2020,35,64,257,0,0,1,0,0,0,1,4,30244,19,0,0,500,500,0,0,,,,,
03/18/2020,-19,45,302,0,0,1,0,0,0,0,4,35800,20,0,0,500,500,0,0,,,,,
03/19/2020,11,56,358,0,0,1,5,0,0,0,4,39089,23,0,0,500,500,0,0,,,,,
