date,cases_diff,daily_cases,total_cases,daily_doses,total_doses,hospitalised,icu,vent,daily_deaths,deaths,pcr_tests,temp_celc,lockdown_level,schools_closed,restaurants_closed,home_gatherings,outdoor_gatherings,masks_mandate,international_travel,
01/27/2020,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,500,1000,0,0,
01/28/2020,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,500,1000,0,0,
01/29/2020,2,2,3,0,0,0,0,0,0,0,0,8,0,0,0,500,1000,0,0,
01/30/2020,-2,0,3,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
01/31/2020,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,500,1000,0,0,
02/01/2020,1,1,4,0,0,0,0,0,0,0,0,7,0,0,0,500,1000,0,0,
02/02/2020,-1,0,4,0,0,0,0,0,0,0,0,3,0,0,0,500,1000,0,0,
02/03/2020,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,500,1000,0,0,
02/04/2020,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,500,1000,0,0,
02/05/2020,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,500,1000,0,0,
02/06/2020,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,500,1000,0,0,
02/07/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
02/08/2020,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,500,1000,0,0,
02/09/2020,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,500,1000,0,0,
02/10/2020,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,500,1000,0,0,
02/11/2020,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,500,1000,0,0,
02/12/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
02/13/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
02/14/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
02/15/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
02/16/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,0,
02/17/2020,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,500,1000,0,1,
02/18/2020,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,500,1000,0,1,
02/19/2020,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,500,1000,0,1,
02/20/2020,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,500,1000,0,1,
02/21/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,1,
02/22/2020,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,500,1000,0,1,
02/23/2020,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,500,1000,0,1,
